Text|Label;;;;;;;
детектив о подставной компании и отмывании денег|1
герой с мечом|10
посоветуйте ужасы про заброшенный лагерь смерти|8
жуткий фильм про монстра в тёмном лесу|8
посоветуйте картину про шпиона в дипломатическом поезде|7
Хочется фильма про летчиков-камикадзе или пилотов, выполняющих самоубийственные миссии, и их последние часы жизни, полные размышлений о смысле жертвы.|5
Ищу фильм про женщину, которая занимается благотворительностью, собирает вещи для нуждающихся, и её встречи с людьми, оказавшимися в трудной ситуации.|6
грустная история о смерти отца-героя|2
криминальная драма о подставных свидетелях|4
ищу хоррор про одержимого писателя|8
трагическая драма|2
история о простом дне фотографа на свадьбе|6
героическое фэнтези|10
ищу картину про опасное задание агента|7
ищу драму о возвращении солдата с войны|5
Мечтаю о сюжете, где герой пытается произвести впечатление на тестя, но случайно ломает его любимую вещь, а затем пытается починить её скотчем и жвачкой, пока тот не видит.|3
мистическая история про дом с привидениями|8
ищу мистику о портале в ад через подвал|1
кровавая ночь над древним проклятым заброшенным кладбищем с восставшими|8
Хочется сюжета, про старую пару, где один из супругов страдает деменцией, и другой ухаживает за ним, вспоминая их молодость и любовь, которая теперь существует только в прошлом.|2
Хочется сюжета, где расследование убийства приводит к обнаружению подпольной организации, торгующей воспоминаниями или эмоциями, и герой должен вернуть свои украденные чувства, чтобы выжить.|1
Мне нужно что-то, где романтика живёт в атмосфере: в музыке, в пейзажах, в том, как камера ловит взгляды, которые говорят больше слов, и в тишине, которая не неловкая, а наполненная смыслом и теплом, и эта атмосфера передаёт глубину чувств лучше любых диалогов.|0
история о поиске магического камня|10
мелодрама о встрече через много лет|0
Ищу историю про человека, который решает избавиться от хлама в квартире, и как расставание с вещами помогает ему расстаться с прошлым и облегчить душу.|6
хочу посмотреть кино про проклятый дневник|8
герой и дракон|10
Хочется эпопеи про старого учителя, который учит детей не наукам, а доброте, и его ученики вырастают и становятся врачами, учителями, строителями, и они строят город, в котором нет места злу, и этот город становится легендой, а учителя помнят как святого.|10
простая драма|6
фильм о тайне старого пианино в заброшенном доме|1
посоветуйте триллер о погоне через песчаную пустыню|7
посоветуйте кино про преодоление трудностей и успех|9
мотивационная история|9
хочу фильм о санитарке перевязавшей десятки раненых бойцов|5
Хочется фильма про десантников, прыгающих в ночь над вражеской территорией, рассеянных ветром и огнем, и их борьбу за сбор в группы для выполнения задачи.|5
история о полицейском под прикрытием в мафии|4
ищу триллер с невидимым преследователем|1
хочу фэнтези про волшебный сад и магию жизни|10
напряжение и тревога|7
посоветуйте кино о загадочном лабиринте|1
Хочется сюжета про пилота бомбардировщика, который должен сбросить груз на город, зная, что там есть мирные жители, и его моральные терзания становятся центром истории.|5
убийство в парке|4
есть ли картина про шпионскую игру в Берлине|7
Мечтаю о сюжете, где герой должен пронести оружие через металлоискатель, используя хитрость и отвлекающие маневры, пока охрана внимательно смотрит.|7
ищу кино о первой любви в танцевальном классе|0
фильм про детектива страдающего от амнезии|7
вдохновляющее кино про достижение цели через смирение и мудрость|9
печальная драма|2
семейная драма|6
Хочется фильма, где страх нарастает постепенно, начиная с едва заметных теней в углу зрения и заканчивая откровенным кошмаром, от которого невозможно проснуться.|8
смешная история о поездке в горы|3
вдохновляющее кино про достижение цели через любовь к жизни|9
Мечтаю о фильме, где старый шахтёр ведёт молодого геолога в заброшенную шахту, где когда-то работал его отец, и там, на глубине, они находят не руду, а старую кирку с инициалами отца, и геолог понимает, что шахтёр пришёл сюда не за деньгами, а чтобы попрощаться с отцом, которого похоронили под обвалом, и он оставляет кирку в шахте, потому что это единственное, что у него осталось от отца.|11
история о пулемётчике, сгоревшем в подбитом танке|5
Нужен фильм про то, как безработный актёр снимает фильм на телефон и выигрывает премию, и он говорит: «У меня не было денег, но у меня была мечта».|9
смешные диалоги|3
фильм о похищении женщины и выкупе с угрозами|4
посоветуйте кино про любовь и дружбу|0
Хочется сюжета, где бездомный музыкант играет на вокзале на старой гитаре, и однажды его замечает продюсер, и он становится знаменитым, но не забывает своих друзей-бездомников и строит для них приют, и его песни поёт вся страна.|9
фильм про чтение фантастики в кресле|6
ищу кино о тайне древнего манускрипта|1
ищу триллер про побег от наёмников в лесу|7
опасное путешествие на верблюдах через песчаные барханы|11
хочу фильм о кормлении уток в тихом парковом пруду|6
повседневность студента перед сессией|6
жуткий фильм про призраков в заброшенной школе с кровавой историей|8
фильм про расследование убийства в зоопарке|1
хочу фильм о санитаре спасшем раненого офицера под огнём|5
Хочется сюжета про оборону деревни, где старики и женщины помогают солдатам, поднося патроны и еду, становясь частью фронта.|5
посоветуйте фэнтези про мага хранителя древних знаний|10
посоветуйте сюжет про побег от преследования в метро|7
Нужен фильм про девушку с наркозависимостью, которая завязала и стала психологом в реабилитационном центре, и она спасла сотни таких же, как она, и она говорит: «Я была на дне, и я знаю, как оттуда выбраться».|9
обычная жизнь юриста в суде|6
вдохновляющий фильм о мечте стать психологом и помогать людям|9
Мечтаю о сюжете, где мальчик с аутизмом, который не умеет выражать эмоции, пишет музыку, и его мелодии заставляют людей плакать, а он не понимает почему, но его мать говорит: «Он не чувствует, но его музыка чувствует за него».|9
жизнеутверждающий фильм о счастье в ежедневном служении близким|9
Хочется кино про учителя математики, который решает бытовые задачи с помощью уравнений, например, рассчитывает траекторию полета мяча в мусорное ведро с учетом сопротивления воздуха.|3
ищу лёгкую комедию о поездке на теплоходе|3
посоветуйте фильм о лётчике-штурмовике, уничтожившем вражескую колонну|5
успех и победа|9
фильм о весёлых проделках библиотекаря|3
посоветуйте романтическую драму о выборе пути|0
острый триллер|7
вдохновляющее кино про достижение цели через сострадание и действие|9
ищу триллер про опасного информатора в суде|7
Мечтаю о сюжете, где герой должен пронести запрещенный предмет через таможню, и каждый взгляд офицера кажется подозрительным, а пот льется градом.|7
смешная история о женихе-трусишке|3
мотивационная история о старте в старости|9
посоветуйте драму о смерти ребёнка в аварии по вине отца|2
Настроение требует эпопеи про восхождение на гору Денали на Аляске, где группа альпинистов попадает в снежную бурю, и они теряют палатку, и им приходится зарыться в снег, чтобы не замёрзнуть, и они лежат в снегу трое суток, обнимая друг друга, чтобы согреться, и когда буря стихает, они вылезают и видят, что один из них не проснулся, и они хоронят его в снегу и идут дальше, потому что он хотел бы, чтобы они дошли.|11
драма о потере рассудка от горя|2
фильм о похищении и побеге из подвала|4
посоветуйте фильм о весёлых проделках в магазине игрушек|3
психологический триллер|7
мистический психологический хоррор|8
опасное путешествие|11
Мечтаю о сюжете, где герои решают открыть кафе, но не умеют готовить, и подают блюда из полуфабрикатов, называя их авторской кухней, и клиенты верят, потому что дорого.|3
Хочется фильма про девушку, которая переезжает в новый дом и находит в стене тайник с волосами и зубами, и когда она пытается их выбросить, они возвращаются на место, а ночью она слышит голос: «Это мои волосы, это мои зубы, это моё тело, и я верну его».|8
хочу мотивационную драму о преодолении себя|9
история о простом дне рыбака на озере|6
загадочная история|1
Мечтаю о сюжете, где герои приходят на кладбище, говорят с могилами, делятся жизнью с ушедшими, ища утешения в памяти, но в ответ слышат лишь тишину.|2
посоветуйте фильм о загадочной смерти на яхте|1
война|5
мистический хоррор|8
мафия и борьба за наследство|4
кровавый след ведёт к проклятому месту|8
тайна подвала|1
страшный сюжет про маньяка в заброшенном ночном клубе с призраками|8
Хочется кино про семью, которая переезжает в загородный дом, и их адаптация к жизни на земле, огороду, печке и отсутствию городского шума.|6
хочу кино о повседневной жизни в общежитии|6
романтика с элементами лёгкой магии|0
фильм про опасный маршрут через горные перевалы|11
хочу фильм о загадочном исчезновении целой деревни|1
поход в лес|11
Хочется эпопеи про девочку, которая умеет видеть будущее, и она видит, что её город будет разрушен, но никто не верит ей, и она строит убежище в одиночку, и когда беда приходит, люди бегут в её убежище, и она спасает их, а они просят у неё прощения.|10
фильм про неуклюжего учителя физкультуры|3
романтика на фоне золотой осени|0
ищу детектив о серийном убийце-архитекторе|4
фэнтези про эльфов|10
криминальная сага|4
печальная история о разлуке родителей и детей|2
любовь и отношения|0
ограбление банка с любовным романом|4
эпичная история|10
мотивационная драма|9
сила воли|9
Мечтаю о сюжете про ученых, изучающих вулкан перед извержением, и их рискованную работу по сбору данных, пока земля дрожит под ногами.|11
грустные моменты|2
приключенческая драма о выживании в пустыне|11
история о любви|0
Хочется кино про писателя, который страдает от блока, и начинает получать главы романа, написанные кем-то другим, и события из романа начинают происходить с ним в реальной жизни, стирая грань между автором и героем.|1
Настроение такое, что хочется чего-то про маски, которые дают wearer способности, но забирают часть их humanity, и герой должен снять маску, пока не стало слишком поздно, но маска не хочет слезать.|1
хочу фильм о серийных убийствах в мегаполисе|7
загадочный ритуал на древнем алтаре|1
фильм про демона который вселяется через телефон|8
фильм про агента под прикрытием в мафии|7
кровавый рассвет над проклятым местом|8
тайна прошлых лет|1
воровство|4
мотивирующая драма о достижении мастерства|9
триллер о маньяке, копирующем убийства|7
романтика на фоне весеннего парка|0
Хочется кино про путешественников, заблудившихся и их выживание с помощью навыков, полученных из книг, и помощи местных племен.|11
страшно но хочу фильм про древних демонов|8
фильм про расследование смерти в канализации|1
история одиночества|2
Мечтаю о фильме, в котором группа выживших после апокалипсиса отправляется на поиски легендарного города, где якобы сохранилась цивилизация, но по пути они понимают, что город — это миф, а единственное, что у них есть, — это они сами друг у друга.|11
Ищу фильм про студента, который разработал приложение для поиска пропавших животных, и оно помогло воссоединить тысячи питомцев с хозяевами.|9
мистический хоррор о древнем ритуале|8
военный боевик|5
романтическая драма о расставании и воссоединении|0
Хочется истории о старике, который живет один и вспоминает свою жизнь, полную ярких моментов и горьких потерь, и эти воспоминания становятся его единственными companions в тишине дома.|2
На душе тяжело, и хочется включить драму про человека, который ухаживает за больным родственником дома, и его борьбу с выгоранием, чувством вины и усталостью.|6
эпичная битва за магический трон и будущее миров|10
посоветуйте историю о мести бандитам за убитую семью|4
хоррор с элементами ужаса|8
мотивационная история о старте в тюрьме|9
Хочется кино про вора, который крадет только бриллианты, и однажды крадет камень с проклятием, приносящим неудачу всем владельцам.|4
Мечтаю о сюжете, где герой находит приложение, которое предсказывает будущее, но только в мелочах: когда упадет ложка или кто позвонит, и он становится зависимым от этих предсказаний.|3
экспедиция в пещеры|11
убийство в тупике|4
Хочется кино про учителей, готовящих выпускной вечер, и их переживания за судьбы детей, которых они выпускают во взрослую жизнь, полную неизвестности.|6
ищу кино о банде нападающей на ювелирные салоны города|4
тайна старого кинотеатра с призраками|1
ищу фильм о загадочном исчезновении целой деревни|1
хочу фильм о разведчице, соблазнившей немецкого офицера|5
ищу детектив с элементами нуара|1
Настроение требует фильма про женщину, которая после смерти мужа начинает слышать его голос из зеркала, и он говорит ей, что не умер, а застрял в зазеркалье, и чтобы его спасти, она должна войти в зеркало, но когда она это делает, то оказывается в комнате, где висят сотни зеркал с её отражениями, и все они кричат: «Ты ошиблась дверью».|8
нужен сюжет про шпиона в международном аэропорту|7
фильм со слезами|2
фильм о детективе, который расследует своё прошлое|1
битва за город|5
страх и ужас|8
история о воeнном связисте в окопе|5
печальная драма о жестокости войны|2
Хочется сюжета, в котором герой отправляется в пещеры Крыма на поиски древнего клада, и он находит не клад, а коллекцию старых фотографий, на которых запечатлены люди, жившие в этих местах сто лет назад, и он понимает, что настоящий клад — это не золото, а память, и он организует музей в местной школе, чтобы дети знали историю своего края.|11
Хочется эпопеи про смотрителя маяка, который живёт на отдалённом острове и каждую ночь видит в море фигуру, идущую по воде к маяку, а когда фигура приближается, свет гаснет, и смотритель слышит шаги по лестнице, но никого не видит.|8
Ищу фильм про человека, который должен переплыть реку с аллигаторами, спасаясь от погони.|7
ищу загадочный детектив с тайной|1
хочу хоррор про заброшенную психиатрическую больницу|8
фильм о танковом сражении под Прохоровкой|5
повседневная жизнь|6
хочу мелодраму о встрече после долгой разлуки|0
хочу фильм о повседневной жизни экскурсовода в музее|6
военная драма о зенитчике сбившем вражеский штурмовик|5
эпичное приключение в зачарованных горах магов|10
комедия про отношения с тёщей|3
Ищу историю про пару, которая решает построить дом своими силами, и их обучение строительству, ошибки, успехи и радость от каждого этапа.|6
психологическое напряжение при допросе в темноте|7
фэнтези о древнем пророчестве и избранном|10
На душе пусто, и хочется посмотреть драму о вдовце, переживающем первый год без супруги, каждый праздник отмечается отсутствием, он учится жить с ощущением неполноты.|2
ищу триллер о маньяке-дальнобойщике|4
эпичная битва за трон и власть над магией|10
посоветуйте драму о потере смысла существования|2
Хочется истории про мага-ученика, который случайно освобождает древнее зло, и теперь он должен исправить ошибку, изучая запретную магию и рискуя собственной душой.|10
комедия про неудачливого повара|3
поход в джунгли|11
Ищу кино про то, как в мире, где все чувства заменены цифрами, появляется поэт, который чувствует слишком остро, и его чувства разрушают систему, и он должен выбрать: притупить свои чувства и выжить или остаться собой и погибнуть.|10
страшные события|8
Ищу кино про сплав по реке Колорадо через Гранд-Каньон, где группа туристов попадает в ловушку из-за внезапного подъёма воды, и пока они ждут спасателей, у каждого есть время вспомнить, что привело их сюда, и не все готовы признаться даже себе.|11
Хочется сюжета, где детектив расследует серию убийств, связанных с塔罗牌 или астрологией, и каждое новое преступление соответствует предсказанию, которое сбывается с пугающей точностью.|1
ищу кино о тайне старого колодца в лесу|1
Хочется чего-то, где любовь — это не конец поиска, а начало нового пути, который герои проходят вместе, открывая мир и друг друга заново.|0
нужен сюжет про похищение и срочный выкуп|7
фильм про опасный поход через ледяной каньон|11
фильм про будни кладовщика на складе|6
фильм про неторопливое утро с чашкой горячего чая|6
ищу комедию о школьниках-проказниках|3
посоветуйте ужасы про призрака мстящего за смерть|8
драма о самоубийстве из-за буллинга|2
остросюжетный триллер о взломе системы|7
напряжение и тревога|7
Хочется истории, где в мире, где каждый звук материален, один человек коллекционирует звуки в банки, и у него есть звук дождя, звук смеха ребёнка, звук первого поцелуя, и когда он умирает, его коллекцию хоронят вместе с ним, и мир становится тише на несколько звуков.|10
юмористическая драма о поиске себя|3
фильм о похищении и перестрелке на заброшенном заводе|4
Нужен фильм про то, как 80-летняя бабушка учится водить машину, чтобы возить внуков в школу, и она сдаёт экзамен с первого раза, и инспектор говорит: «Вы дадите фору любому молодому».|9
магия звёздного света и сила созвездий|10
Мечтаю о кино, где любовь — это не только страсть, но и спокойствие: ощущение дома, которое герои дарят друг другу просто своим присутствием.|0
Хочется сюжета, где эльфийская принцесса и человеческий рыцарь должны объединиться, чтобы победить древнее зло, но между их народами вековая вражда, и их союз становится единственным шансом на спасение, хотя никто в это не верит.|10
Хочется истории про хирурга, оперирующего в движущемся автомобиле или самолете, где каждая кочка или турбулентность может стоить пациенту жизни.|7
комедия про неудачливого изобретателя|3
простая драма|6
детектив с загадкой|1
магия стихий и герой владеющий всеми элементами|10
Ищу кино про то, как последний дракон просыпается после тысячелетнего сна и обнаруживает, что люди забыли магию, и он должен научить их заново, но люди боятся его и хотят убить, и дракон выбирает — умереть или уничтожить людей.|10
история о военном водителе тягача|5
Ищу кино про то, как фермер из глухой деревни изобретает ветряк из металлолома и даёт своему селу электричество, и к нему приезжают учёные, и он говорит им: «Я не учёный, я просто хотел, чтобы мои дети видели свет».|9
фэнтезийный боевик о захвате замка|10
хочу детектив о серии убийств на съёмочной площадке|1
На душе легко, и хочется посмотреть что-то про студенческие годы, общежитие, ночные посиделки, экзамены и первую серьезную работу, полную энтузиазма и иллюзий.|6
история о мафии и отмывании денег через ресторан|4
про работу|6
Хочется сюжета, где женщина просыпается в пустом доме и не помнит, кто она, а по ночам к ней приходит человек без лица и говорит: «Ты убила меня, и я заберу твою память взамен».|8
Хочется истории, где в мире, где все носят маски, одна девушка снимает маску и показывает лицо, и её хотят казнить, но когда палач снимает свою маску, под ней такое же лицо, и все понимают, что они одинаковые, и маски больше не нужны.|10
хочу кино о смерти брата-близнеца и горе сестры-близнеца в детстве|2
фильм о разводе и одиночестве матери-одиночки|2
тайны и секреты|1
смешной фильм о двойниках и путанице|3
криминальные тайны|4
романтический вечер|0
история о преодолении последствий инсульта|9
Хочется эпопеи про путешествие по Индии на рикше, где герой — бывший врач, который потерял лицензию за врачебную ошибку, и он едет через всю страну, чтобы попросить прощения у родственников пациента, которого он не смог спасти, и в пути он оказывает помощь случайным попутчикам, постепенно возвращая себе веру в собственные силы.|11
напряжение при операции по спасению|7
фильм о самоубийстве из-за отчаяния и бездомности|2
posovetuyte komediyu o neudachnom fokusnike|3
вдохновляющая история о силе терпения|9
фильм про выживание в джунглях после наводнения|11
Хочется сюжета, где герои находят дневник путешественника во времени, и попытки повторить его маршрут приводят к столкновению с версиями самих себя из других временных линий, желающими устранить конкурентов.|1
жизнеутверждающий фильм о счастье в простых человеческих отношениях|9
Настроение такое, что хочется чего-то про свидание в кинотеатре, где герой постоянно роняет попкорн, шуршит упаковкой и спрашивает громко: «А что дальше?», мешая всем.|3
напряжённая история о слежке за бандой наркоторговцев|7
фильм про моряков в торпедной атаке|5
экспедиция в пустыню|11
история о плавании вокруг мыса Горн|11
напряжённая история о слежке за мафиозными боссами|7
Хочется истории, где детектив расследует убийство, совершенное с помощью яда, который вызывает галлюцинации, и свидетельские показания противоречат друг другу, потому что каждый видел разную версию событий.|1
приключенческий боевик о поиске изумрудов|11
смешная история|3
эпичная сага о кланах магов и их войнах|10
психологический ужас о потере рассудка|8
ищу кино о соседях, собирающихся вместе на чай|6
Мечтаю о фильме, где герои стараются сохранить семью ради детей, но их брак — это фасад, и дети чувствуют эту фальшь, страдая от напряжения в доме.|2
кровавый ужас|8
подвиг героя|9
фильм про героя который должен найти утраченный гримуар|10
мистика в подземельях старого города|1
история о простых человеческих отношениях|6
на душе холодно дайте хоррор про кладбище|8
мистическая драма о контакте с потусторонним миром|1
хочу кино про выживание в саванне после бури|11
На душе легко, и хочется посмотреть комедию про неудачливого комика, который через боль и поражения нашел свой уникальный юмор и стал звездой стендапа.|9
хочу фильм о первой любви в летнем лагере|0
криминальная драма о бандитских войнах за городские территории|4
спокойный фильм|6
Мечтаю о сюжете про демона, который вселяется в игрушку ребенка, и родители списывают странности на фантазию, пока игрушка не начинает нападать физически.|8
посоветуйте историю о семейных заботах отца-одиночки|6
хочу кино о серийном убийце-учителе|4
ищу кино о детективе находящемся под постоянной угрозой расправы|4
романтическая история любви|0
на душе тревожно дайте хоррор про старый морг|8
на ночь нужен хоррор про зло из старого разбитого волшебного зеркала|8
есть ли хоррор про ритуал в заброшенной старой церкви|8
ищу кино о самоубийстве из-за травли в школе|2
Хочется сюжета, где чувства раскрываются через поступки: не громкие слова, а готовность быть рядом, когда это действительно важно, и не оставлять в трудную минуту, даже если самому непросто, и именно эти поступки, эта преданность, доказывают силу их любви, потому что слова могут обмануть, а дела — никогда.|0
хочу фильм про мафию и отмывание денег через казино|4
Хочется кино про ученого, который десятилетиями искал лекарство от редкой болезни, и когда оно было найдено, он отказался от патента, чтобы спасти как можно больше жизней.|9
бытовые заботы|6
фильм про потерю смысла жизни|2
повседневная жизнь провизора в аптеке|6
фильм про дракона который стал наставником героя|10
на ночь нужен хоррор про зло из прошлого|8
вдохновляющий сюжет|9
фильм про экспедицию к водопаду в джунглях|11
На душе неспокойно, и хочется посмотреть хоррор про больницу, где ночью оживают тела в морге, и санитар должен выбраться оттуда, пока его не заметили «пациенты».|8
фильм про демона который вселяется через старый компьютер|8
Хочется фильма про девушку, которая работает в морге, и однажды тело на столе открывает глаза и говорит: «Они не умерли, они спят, и они проснутся», а через неделю все трупы в городе исчезают, и начинается кошмар.|8
Настроение требует эпопеи про мальчика, который собирает деньги на операцию для сестры, продавая газеты на улице, и весь город узнаёт о нём и помогает, и сестра выздоравливает, и брат говорит: «Я просто её люблю».|9
эпичное приключение в поисках утраченного драконьего клинка|10
посоветуйте фильм о похищении ребёнка и ложном следе|4
посоветуйте фильм о разведчице, работавшей под прикрытием в тылу врага|5
вдохновляющий фильм о мечте стать садоводом и выращивать красоту|9
история о силе воли|9
хочу спокойный фильм о жизни на хуторе|6
фильм про минера обезвредившего бомбу в населённом пункте|5
Ищу историю про мужчину, который после потери работы открывает службу мелкого ремонта, и становится незаменимым помощником для жителей района.|6
трагедия|2
магия воды и тайны океанских глубин|10
Хочется сюжета, где в мире, где все двери заперты, один человек находит ключ, который открывает любую дверь, и он открывает двери тюрем, и заключённые выходят на свободу, но среди них есть и убийцы, и начинается хаос, и человек понимает, что не все двери нужно открывать, и ломает ключ.|10
Хочется истории, которая начинается как обычная встреча, но постепенно превращается во что-то большее, и ты сам не замечаешь, как начинаешь болеть за этих героев.|0
гангстерские разборки в порту|4
ищу картину про опасную погоню в тоннеле|7
посоветуйте историю о семейных обедах с любимым блюдом|6
фильм про неудачливого фокусника на детском празднике|3
напряжённый диалог в допросной комнате ночью|7
хочу фильм про подвиг биоинженера создавшего лекарство от редкой болезни|9
Мечтаю о сюжете про группу друзей, которые находят старый дневник путешественника и решают повторить его маршрут, находя приключения там, где не ожидали.|11
история о путешествии в параллельный мир|10
комедия про работу в странной компании|3
романтика на фоне весеннего сада|0
военный триллер о засаде на диверсантов|5
эпическое фэнтези|10
посоветуйте триллер с ложной памятью|1
криминальная интрига|4
жуткий фильм про оживших мертвецов|8
история о смерти жены от рака и бессилии мужа|2
посоветуйте историю о самоубийстве из-за любви|2
